"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"Hub-ensemble","RI",0.394116089341786,0.163318338759222,0.193326300300719,0.952299829642249,0.990630323679727,228
"Hub-ensemble","SC",0.435830296345964,0.273665058541163,0.29141935672576,0.993191489361702,0.996595744680851,99
"Hub-ensemble","SD",0.430497400389202,0.211126241384189,0.235721464147035,0.940772532188841,0.987124463519313,310
"Hub-ensemble","TN",0.2159518724381,0.0987495173383335,0.12486369201207,0.987244897959184,0.999149659863946,136
"Hub-ensemble","TX",0.353035540613355,0.202546428401131,0.227877173540612,0.983843537414966,0.991496598639456,114
"Hub-ensemble","UT",0.559624748421106,0.147371391312626,0.172532192233848,0.88134135855546,0.967325881341359,616
"Hub-ensemble","VA",0.736880535107598,0.260564290931204,0.277578205885737,0.864391143911439,0.944649446494465,323
"Hub-ensemble","VT",0.717405660348119,0.305502229974448,0.328732283039637,0.795954265611258,0.949868073878628,519
"Hub-ensemble","WA",0.793798906318044,0.270921711752243,0.306297533887281,0.882136279926335,0.947513812154696,317
"Hub-ensemble","WI",0.230618910390741,0.0827718892603767,0.111182453185408,0.995697074010327,0.998278829604131,36
"Hub-ensemble","WV",NA,NA,NA,1,1,0
"Hub-ensemble","WY",0.0142694383828688,0.00973973682498947,0.0173611780609415,1,1,6
"LANL-CovTransformer","AK",NA,0.173913043478261,NA,NA,NA,23
"LANL-CovTransformer","AL",NA,0.543943413914097,NA,NA,NA,30
"LANL-CovTransformer","AR",NA,0.5,NA,NA,NA,3
"LANL-CovTransformer","AZ",NA,0.424933153643645,NA,NA,NA,1713
"LANL-CovTransformer","CA",NA,0.388422274669546,NA,NA,NA,2315
"LANL-CovTransformer","CO",NA,0.38237323036286,NA,NA,NA,1896
"LANL-CovTransformer","CT",NA,0.437046322254545,NA,NA,NA,2140
"LANL-CovTransformer","DC",NA,0.680549436271835,NA,NA,NA,393
"LANL-CovTransformer","DE",NA,0.42197553207742,NA,NA,NA,619
"LANL-CovTransformer","FL",NA,0.446289903420504,NA,NA,NA,781
"LANL-CovTransformer","GA",NA,0.58853592814162,NA,NA,NA,343
"LANL-CovTransformer","HI",NA,NA,NA,NA,NA,0
"LANL-CovTransformer","IA",NA,0.406237902517566,NA,NA,NA,576
"LANL-CovTransformer","ID",NA,NA,NA,NA,NA,0
"LANL-CovTransformer","IL",NA,0.386298436119401,NA,NA,NA,2015
"LANL-CovTransformer","IN",NA,0.649987302148759,NA,NA,NA,81
"LANL-CovTransformer","KS",NA,0.5,NA,NA,NA,2
"LANL-CovTransformer","KY",NA,0.395541159722753,NA,NA,NA,15
"LANL-CovTransformer","LA",NA,0.422856446261121,NA,NA,NA,737
"LANL-CovTransformer","MA",NA,0.413233110475374,NA,NA,NA,634
"LANL-CovTransformer","MD",NA,0.342494036039981,NA,NA,NA,1617
"LANL-CovTransformer","ME",NA,NA,NA,NA,NA,0
"LANL-CovTransformer","MI",NA,0.436831144451276,NA,NA,NA,1819
"LANL-CovTransformer","MN",NA,0.386649570351668,NA,NA,NA,2154
"LANL-CovTransformer","MO",NA,0.5,NA,NA,NA,17
"LANL-CovTransformer","MS",NA,0.700509350335598,NA,NA,NA,12
"LANL-CovTransformer","MT",NA,1,NA,NA,NA,14
"LANL-CovTransformer","NC",NA,0.505768508202955,NA,NA,NA,430
"LANL-CovTransformer","ND",NA,0.514807473302481,NA,NA,NA,88
"LANL-CovTransformer","NE",NA,NA,NA,NA,NA,0
"LANL-CovTransformer","NH",NA,0.536585365853659,NA,NA,NA,41
"LANL-CovTransformer","NJ",NA,0.380902685313311,NA,NA,NA,1858
"LANL-CovTransformer","NM",NA,0.519853274911216,NA,NA,NA,1902
"LANL-CovTransformer","NV",NA,0.706728289969733,NA,NA,NA,69
"LANL-CovTransformer","NY",NA,0.400434140755517,NA,NA,NA,1366
"LANL-CovTransformer","OH",NA,0.5839177647963,NA,NA,NA,364
"LANL-CovTransformer","OK",NA,0.530842440467861,NA,NA,NA,153
"LANL-CovTransformer","OR",NA,0.470991373697233,NA,NA,NA,1711
"LANL-CovTransformer","PA",NA,0.442526815950322,NA,NA,NA,662
"LANL-CovTransformer","PR",NA,0.436204832901678,NA,NA,NA,1417
"LANL-CovTransformer","RI",NA,0.645914750876711,NA,NA,NA,203
"LANL-CovTransformer","SC",NA,0.54129953279364,NA,NA,NA,441
"LANL-CovTransformer","SD",NA,0.466468150175314,NA,NA,NA,832
"LANL-CovTransformer","TN",NA,0.515689220283392,NA,NA,NA,431
"LANL-CovTransformer","TX",NA,0.487556554176789,NA,NA,NA,704
"LANL-CovTransformer","UT",NA,0.455121402651447,NA,NA,NA,965
"LANL-CovTransformer","VA",NA,0.481952013558104,NA,NA,NA,1179
